Played,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,Team,Opposition,HomeAway,Result,MatchPoints,Points,GF,GA,GD,W,D,L,Season,League
1,E0,2015-08-09,Arsenal,West Ham,0.0,2.0,A,Arsenal,West Ham,H,L,0,0,0.0,2.0,-2.0,0,0,1,2015-16,Premier League
2,E0,2015-08-16,Crystal Palace,Arsenal,1.0,2.0,A,Arsenal,Crystal Palace,A,W,3,3,2.0,1.0,1.0,1,0,0,2015-16,Premier League
3,E0,2015-08-24,Arsenal,Liverpool,0.0,0.0,D,Arsenal,Liverpool,H,D,1,4,0.0,0.0,0.0,0,1,0,2015-16,Premier League
4,E0,2015-08-29,Newcastle,Arsenal,0.0,1.0,A,Arsenal,Newcastle,A,W,3,7,1.0,0.0,1.0,1,0,0,2015-16,Premier League
5,E0,2015-09-12,Arsenal,Stoke,2.0,0.0,H,Arsenal,Stoke,H,W,3,10,2.0,0.0,2.0,1,0,0,2015-16,Premier League
6,E0,2015-09-19,Chelsea,Arsenal,2.0,0.0,H,Arsenal,Chelsea,A,L,0,10,0.0,2.0,-2.0,0,0,1,2015-16,Premier League
7,E0,2015-09-26,Leicester,Arsenal,2.0,5.0,A,Arsenal,Leicester,A,W,3,13,5.0,2.0,3.0,1,0,0,2015-16,Premier League
8,E0,2015-10-04,Arsenal,Man United,3.0,0.0,H,Arsenal,Man United,H,W,3,16,3.0,0.0,3.0,1,0,0,2015-16,Premier League
9,E0,2015-10-17,Watford,Arsenal,0.0,3.0,A,Arsenal,Watford,A,W,3,19,3.0,0.0,3.0,1,0,0,2015-16,Premier League
10,E0,2015-10-24,Arsenal,Everton,2.0,1.0,H,Arsenal,Everton,H,W,3,22,2.0,1.0,1.0,1,0,0,2015-16,Premier League
11,E0,2015-10-31,Swansea,Arsenal,0.0,3.0,A,Arsenal,Swansea,A,W,3,25,3.0,0.0,3.0,1,0,0,2015-16,Premier League
12,E0,2015-11-08,Arsenal,Tottenham,1.0,1.0,D,Arsenal,Tottenham,H,D,1,26,1.0,1.0,0.0,0,1,0,2015-16,Premier League
13,E0,2015-11-21,West Brom,Arsenal,2.0,1.0,H,Arsenal,West Brom,A,L,0,26,1.0,2.0,-1.0,0,0,1,2015-16,Premier League
14,E0,2015-11-29,Norwich,Arsenal,1.0,1.0,D,Arsenal,Norwich,A,D,1,27,1.0,1.0,0.0,0,1,0,2015-16,Premier League
15,E0,2015-12-05,Arsenal,Sunderland,3.0,1.0,H,Arsenal,Sunderland,H,W,3,30,3.0,1.0,2.0,1,0,0,2015-16,Premier League
16,E0,2015-12-13,Aston Villa,Arsenal,0.0,2.0,A,Arsenal,Aston Villa,A,W,3,33,2.0,0.0,2.0,1,0,0,2015-16,Premier League
17,E0,2015-12-21,Arsenal,Man City,2.0,1.0,H,Arsenal,Man City,H,W,3,36,2.0,1.0,1.0,1,0,0,2015-16,Premier League
18,E0,2015-12-26,Southampton,Arsenal,4.0,0.0,H,Arsenal,Southampton,A,L,0,36,0.0,4.0,-4.0,0,0,1,2015-16,Premier League
19,E0,2015-12-28,Arsenal,Bournemouth,2.0,0.0,H,Arsenal,Bournemouth,H,W,3,39,2.0,0.0,2.0,1,0,0,2015-16,Premier League
20,E0,2016-01-02,Arsenal,Newcastle,1.0,0.0,H,Arsenal,Newcastle,H,W,3,42,1.0,0.0,1.0,1,0,0,2015-16,Premier League
21,E0,2016-01-13,Liverpool,Arsenal,3.0,3.0,D,Arsenal,Liverpool,A,D,1,43,3.0,3.0,0.0,0,1,0,2015-16,Premier League
22,E0,2016-01-17,Stoke,Arsenal,0.0,0.0,D,Arsenal,Stoke,A,D,1,44,0.0,0.0,0.0,0,1,0,2015-16,Premier League
23,E0,2016-01-24,Arsenal,Chelsea,0.0,1.0,A,Arsenal,Chelsea,H,L,0,44,0.0,1.0,-1.0,0,0,1,2015-16,Premier League
24,E0,2016-02-02,Arsenal,Southampton,0.0,0.0,D,Arsenal,Southampton,H,D,1,45,0.0,0.0,0.0,0,1,0,2015-16,Premier League
25,E0,2016-02-07,Bournemouth,Arsenal,0.0,2.0,A,Arsenal,Bournemouth,A,W,3,48,2.0,0.0,2.0,1,0,0,2015-16,Premier League
26,E0,2016-02-14,Arsenal,Leicester,2.0,1.0,H,Arsenal,Leicester,H,W,3,51,2.0,1.0,1.0,1,0,0,2015-16,Premier League
27,E0,2016-02-28,Man United,Arsenal,3.0,2.0,H,Arsenal,Man United,A,L,0,51,2.0,3.0,-1.0,0,0,1,2015-16,Premier League
28,E0,2016-03-02,Arsenal,Swansea,1.0,2.0,A,Arsenal,Swansea,H,L,0,51,1.0,2.0,-1.0,0,0,1,2015-16,Premier League
29,E0,2016-03-05,Tottenham,Arsenal,2.0,2.0,D,Arsenal,Tottenham,A,D,1,52,2.0,2.0,0.0,0,1,0,2015-16,Premier League
30,E0,2016-03-19,Everton,Arsenal,0.0,2.0,A,Arsenal,Everton,A,W,3,55,2.0,0.0,2.0,1,0,0,2015-16,Premier League
31,E0,2016-04-02,Arsenal,Watford,4.0,0.0,H,Arsenal,Watford,H,W,3,58,4.0,0.0,4.0,1,0,0,2015-16,Premier League
32,E0,2016-04-09,West Ham,Arsenal,3.0,3.0,D,Arsenal,West Ham,A,D,1,59,3.0,3.0,0.0,0,1,0,2015-16,Premier League
33,E0,2016-04-17,Arsenal,Crystal Palace,1.0,1.0,D,Arsenal,Crystal Palace,H,D,1,60,1.0,1.0,0.0,0,1,0,2015-16,Premier League
34,E0,2016-04-21,Arsenal,West Brom,2.0,0.0,H,Arsenal,West Brom,H,W,3,63,2.0,0.0,2.0,1,0,0,2015-16,Premier League
35,E0,2016-04-24,Sunderland,Arsenal,0.0,0.0,D,Arsenal,Sunderland,A,D,1,64,0.0,0.0,0.0,0,1,0,2015-16,Premier League
36,E0,2016-04-30,Arsenal,Norwich,1.0,0.0,H,Arsenal,Norwich,H,W,3,67,1.0,0.0,1.0,1,0,0,2015-16,Premier League
37,E0,2016-05-08,Man City,Arsenal,2.0,2.0,D,Arsenal,Man City,A,D,1,68,2.0,2.0,0.0,0,1,0,2015-16,Premier League
38,E0,2016-05-15,Arsenal,Aston Villa,4.0,0.0,H,Arsenal,Aston Villa,H,W,3,71,4.0,0.0,4.0,1,0,0,2015-16,Premier League
1,E0,2015-08-08,Bournemouth,Aston Villa,0.0,1.0,A,Aston Villa,Bournemouth,A,W,3,3,1.0,0.0,1.0,1,0,0,2015-16,Premier League
2,E0,2015-08-14,Aston Villa,Man United,0.0,1.0,A,Aston Villa,Man United,H,L,0,3,0.0,1.0,-1.0,0,0,1,2015-16,Premier League
3,E0,2015-08-22,Crystal Palace,Aston Villa,2.0,1.0,H,Aston Villa,Crystal Palace,A,L,0,3,1.0,2.0,-1.0,0,0,1,2015-16,Premier League
4,E0,2015-08-29,Aston Villa,Sunderland,2.0,2.0,D,Aston Villa,Sunderland,H,D,1,4,2.0,2.0,0.0,0,1,0,2015-16,Premier League
5,E0,2015-09-13,Leicester,Aston Villa,3.0,2.0,H,Aston Villa,Leicester,A,L,0,4,2.0,3.0,-1.0,0,0,1,2015-16,Premier League
6,E0,2015-09-19,Aston Villa,West Brom,0.0,1.0,A,Aston Villa,West Brom,H,L,0,4,0.0,1.0,-1.0,0,0,1,2015-16,Premier League
7,E0,2015-09-26,Liverpool,Aston Villa,3.0,2.0,H,Aston Villa,Liverpool,A,L,0,4,2.0,3.0,-1.0,0,0,1,2015-16,Premier League
8,E0,2015-10-03,Aston Villa,Stoke,0.0,1.0,A,Aston Villa,Stoke,H,L,0,4,0.0,1.0,-1.0,0,0,1,2015-16,Premier League
9,E0,2015-10-17,Chelsea,Aston Villa,2.0,0.0,H,Aston Villa,Chelsea,A,L,0,4,0.0,2.0,-2.0,0,0,1,2015-16,Premier League
10,E0,2015-10-24,Aston Villa,Swansea,1.0,2.0,A,Aston Villa,Swansea,H,L,0,4,1.0,2.0,-1.0,0,0,1,2015-16,Premier League
11,E0,2015-11-02,Tottenham,Aston Villa,3.0,1.0,H,Aston Villa,Tottenham,A,L,0,4,1.0,3.0,-2.0,0,0,1,2015-16,Premier League
12,E0,2015-11-08,Aston Villa,Man City,0.0,0.0,D,Aston Villa,Man City,H,D,1,5,0.0,0.0,0.0,0,1,0,2015-16,Premier League
13,E0,2015-11-21,Everton,Aston Villa,4.0,0.0,H,Aston Villa,Everton,A,L,0,5,0.0,4.0,-4.0,0,0,1,2015-16,Premier League
14,E0,2015-11-28,Aston Villa,Watford,2.0,3.0,A,Aston Villa,Watford,H,L,0,5,2.0,3.0,-1.0,0,0,1,2015-16,Premier League
15,E0,2015-12-05,Southampton,Aston Villa,1.0,1.0,D,Aston Villa,Southampton,A,D,1,6,1.0,1.0,0.0,0,1,0,2015-16,Premier League
16,E0,2015-12-13,Aston Villa,Arsenal,0.0,2.0,A,Aston Villa,Arsenal,H,L,0,6,0.0,2.0,-2.0,0,0,1,2015-16,Premier League
17,E0,2015-12-19,Newcastle,Aston Villa,1.0,1.0,D,Aston Villa,Newcastle,A,D,1,7,1.0,1.0,0.0,0,1,0,2015-16,Premier League
18,E0,2015-12-26,Aston Villa,West Ham,1.0,1.0,D,Aston Villa,West Ham,H,D,1,8,1.0,1.0,0.0,0,1,0,2015-16,Premier League
19,E0,2015-12-28,Norwich,Aston Villa,2.0,0.0,H,Aston Villa,Norwich,A,L,0,8,0.0,2.0,-2.0,0,0,1,2015-16,Premier League
20,E0,2016-01-02,Sunderland,Aston Villa,3.0,1.0,H,Aston Villa,Sunderland,A,L,0,8,1.0,3.0,-2.0,0,0,1,2015-16,Premier League
21,E0,2016-01-12,Aston Villa,Crystal Palace,1.0,0.0,H,Aston Villa,Crystal Palace,H,W,3,11,1.0,0.0,1.0,1,0,0,2015-16,Premier League
22,E0,2016-01-16,Aston Villa,Leicester,1.0,1.0,D,Aston Villa,Leicester,H,D,1,12,1.0,1.0,0.0,0,1,0,2015-16,Premier League
23,E0,2016-01-23,West Brom,Aston Villa,0.0,0.0,D,Aston Villa,West Brom,A,D,1,13,0.0,0.0,0.0,0,1,0,2015-16,Premier League
24,E0,2016-02-02,West Ham,Aston Villa,2.0,0.0,H,Aston Villa,West Ham,A,L,0,13,0.0,2.0,-2.0,0,0,1,2015-16,Premier League
25,E0,2016-02-06,Aston Villa,Norwich,2.0,0.0,H,Aston Villa,Norwich,H,W,3,16,2.0,0.0,2.0,1,0,0,2015-16,Premier League
26,E0,2016-02-14,Aston Villa,Liverpool,0.0,6.0,A,Aston Villa,Liverpool,H,L,0,16,0.0,6.0,-6.0,0,0,1,2015-16,Premier League
27,E0,2016-02-27,Stoke,Aston Villa,2.0,1.0,H,Aston Villa,Stoke,A,L,0,16,1.0,2.0,-1.0,0,0,1,2015-16,Premier League
28,E0,2016-03-01,Aston Villa,Everton,1.0,3.0,A,Aston Villa,Everton,H,L,0,16,1.0,3.0,-2.0,0,0,1,2015-16,Premier League
